"2024-01-01","SKU_1","Wireless Earbuds","Electronics","WH_1","Dublin Central Warehouse","Dublin","West","SUP_8","SwiftChain Distributors","Distribution Partner","10","592","14","379","0","13.95","20.48","0","0","8.52"
"2024-01-01","SKU_1","Wireless Earbuds","Electronics","WH_1","Dublin Central Warehouse","Dublin","West","SUP_5","Delta Retail Supply","Retail Supplier","10","592","8","379","0","11.46","19.92","0","0","8.52"
"2024-01-01","SKU_1","Wireless Earbuds","Electronics","WH_1","Dublin Central Warehouse","Dublin","West","SUP_9","NextWave Sourcing","Sourcing Partner","10","592","6","379","0","6.06","8.41","0","0","8.52"
"2024-01-01","SKU_1","Wireless Earbuds","Electronics","WH_1","Dublin Central Warehouse","Dublin","West","SUP_2","PrimeSource Distributors","General Supplier","10","592","9","379","0","6.93","10.70","0","0","8.52"
"2024-01-01","SKU_1","Wireless Earbuds","Electronics","WH_1","Dublin Central Warehouse","Dublin","West","SUP_5","Delta Retail Supply","Retail Supplier","10","592","4","379","0","19.41","23.81","0","0","8.52"
"2024-01-02","SKU_1","Wireless Earbuds","Electronics","WH_1","Dublin Central Warehouse","Dublin","West","SUP_8","SwiftChain Distributors","Distribution Partner","17","575","14","379","0","13.95","20.48","0","0","18.63"
"2024-01-02","SKU_1","Wireless Earbuds","Electronics","WH_1","Dublin Central Warehouse","Dublin","West","SUP_5","Delta Retail Supply","Retail Supplier","17","575","8","379","0","11.46","19.92","0","0","18.63"
"2024-01-02","SKU_1","Wireless Earbuds","Electronics","WH_1","Dublin Central Warehouse","Dublin","West","SUP_9","NextWave Sourcing","Sourcing Partner","17","575","6","379","0","6.06","8.41","0","0","18.63"
"2024-01-02","SKU_1","Wireless Earbuds","Electronics","WH_1","Dublin Central Warehouse","Dublin","West","SUP_2","PrimeSource Distributors","General Supplier","17","575","9","379","0","6.93","10.70","0","0","18.63"
"2024-01-02","SKU_1","Wireless Earbuds","Electronics","WH_1","Dublin Central Warehouse","Dublin","West","SUP_5","Delta Retail Supply","Retail Supplier","17","575","4","379","0","19.41","23.81","0","0","18.63"
